filename,path,size_kb,doc_type,year_start,year_end,fiscal_year
Rechnungslegung_Finanzberichte Konzernabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007_13112008.pdf,C:\Users\dietm\rag-framework\data\raw\Rechnungslegung_Finanzberichte Konzernabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007_13112008.pdf,706.3,Konzernabschluss,2007,2007,2007
Rechnungslegung_Finanzberichte Konzernabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008_09112009.pdf,C:\Users\dietm\rag-framework\data\raw\Rechnungslegung_Finanzberichte Konzernabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008_09112009.pdf,697.5,Konzernabschluss,2008,2008,2008
Rechnungslegung_Finanzberichte Konzernabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009_15102010.pdf,C:\Users\dietm\rag-framework\data\raw\Rechnungslegung_Finanzberichte Konzernabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009_15102010.pdf,810.9,Konzernabschluss,2009,2009,2009
Rechnungslegung_Finanzberichte Konzernabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010_15082011.pdf,C:\Users\dietm\rag-framework\data\raw\Rechnungslegung_Finanzberichte Konzernabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010_15082011.pdf,747.7,Konzernabschluss,2010,2010,2010
Rechnungslegung_Finanzberichte Konzernabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011_07112012.pdf,C:\Users\dietm\rag-framework\data\raw\Rechnungslegung_Finanzberichte Konzernabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011_07112012.pdf,763.4,Konzernabschluss,2011,2011,2011
Rechnungslegung_Finanzberichte Konzernabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011_27092012.pdf,C:\Users\dietm\rag-framework\data\raw\Rechnungslegung_Finanzberichte Konzernabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011_27092012.pdf,762.4,Konzernabschluss,2011,2011,2011
Rechnungslegung_Finanzberichte Konzernabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012_26082013.pdf,C:\Users\dietm\rag-framework\data\raw\Rechnungslegung_Finanzberichte Konzernabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012_26082013.pdf,917.5,Konzernabschluss,2012,2012,2012
Rechnungslegung_Finanzberichte Konzernabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013_29042015.pdf,C:\Users\dietm\rag-framework\data\raw\Rechnungslegung_Finanzberichte Konzernabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013_29042015.pdf,803.4,Konzernabschluss,2013,2013,2013
Rechnungslegung_Finanzberichte Konzernabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014_08032016.pdf,C:\Users\dietm\rag-framework\data\raw\Rechnungslegung_Finanzberichte Konzernabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014_08032016.pdf,981.0,Konzernabschluss,2014,2014,2014
Rechnungslegung_Finanzberichte Konzernabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015_05012017.pdf,C:\Users\dietm\rag-framework\data\raw\Rechnungslegung_Finanzberichte Konzernabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015_05012017.pdf,939.6,Konzernabschluss,2015,2015,2015
Rechnungslegung_Finanzberichte Konzernabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.03.2016_05012017.pdf,C:\Users\dietm\rag-framework\data\raw\Rechnungslegung_Finanzberichte Konzernabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.03.2016_05012017.pdf,1020.4,Konzernabschluss,2016,2016,2016
Rechnungslegung_Finanzberichte Konzernabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.03.2016_08082017.pdf,C:\Users\dietm\rag-framework\data\raw\Rechnungslegung_Finanzberichte Konzernabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.03.2016_08082017.pdf,1022.9,Konzernabschluss,2016,2016,2016
Rechnungslegung_Finanzberichte Konzernabschluss zum Geschäftsjahr vom 01.04.2016 bis zum 31.03.2017_08032018.pdf,C:\Users\dietm\rag-framework\data\raw\Rechnungslegung_Finanzberichte Konzernabschluss zum Geschäftsjahr vom 01.04.2016 bis zum 31.03.2017_08032018.pdf,1067.0,Konzernabschluss,2016,2016,2016
